CODIGO;DESCRIPCION;CADENA
1;S6 3 DE FEBRERO;1
2;S6 AREGUA;1
3;S6 CAMBA CUA;1
4;S6 DENIS ROA;1
5;S6 EL PORTAL;1
6;S6 ENCARNACION;1
7;S6 ENCARNACION COSTANERA;1
8;S6 FDO DE LA MORA;1
9;S6 GRAN UNION;1
10;S6 HIPERSEIS;1
11;S6 LAURELTY;1
12;S6 LA NEGRITA;1
13;S6 LAMBARE;1
14;S6 LOS LAURELES;1
15;S6 LUQUE;1
16;S6 MBURUCUYA;1
17;S6 MUNDIMARK;1
18;S6 PASEO LA GALERIA;1
19;S6 SAN BERNARDINO;1
20;S6 SAN LORENZO;1
21;S6 SUPER CARRETERA FRANCO;1
22;S6 TOTAL;1
23;S6 VILLARRICA;1
24;S6 VILLETA;1
25;S6 VILLA MORRA;1
100;DELIMARKET;2
101;SACRAMENTO EXPRESS;2
102;STOCK ACCESO SUR;2
103;STOCK ARTIGAS;2
104;STOCK AVELINO;2
105;STOCK BARRIO OBRERO;2
106;STOCK BOQUERON;2
107;STOCK BRASILIA;2
108;STOCK BRASILIA II;2
109;STOCK BRITEZ BORGES;2
110;STOCK CAACUPE;2
111;STOCK CAAGUAZU;2
112;STOCK CALLE´I;2
113;STOCK CAPIATA RI;2
114;STOCK CAPIATA RII;2
115;STOCK CDE;2
116;STOCK CDE DON BOSCO;2
117;STOCK CIUDAD NUEVA;2
118;STOCK CORONEL BOGADO;2
119;STOCK DEFENSORES;2
120;STOCK DOÑA BERTA;2
121;STOCK FELIX BOGADO;2
122;STOCK HERNANDARIAS;2
123;STOCK ITA;2
124;STOCK ITAUGUA;2
125;STOCK J. A. SALDIVAR;2
126;STOCK LAMBARE;2
127;STOCK LAMBARE II;2
128;STOCK LIMPIO;2
129;STOCK LIMPIO PIQUETE CUE;2
130;STOCK LUQUE;2
131;STOCK MALL;2
132;STOCK MARIANO II;2
133;STOCK MCAL. LOPEZ;2
134;STOCK MINGA GUAZU;2
135;STOCK OVIEDO;2
136;STOCK UNICOMPRA;2
137;STOCK PARAGUARI;2
138;STOCK PDTE FRANCO;2
139;STOCK PJC;2
140;STOCK SACRAMENTO;2
141;STOCK SAN ANTONIO;2
142;STOCK SAN ANTONIO II;2
143;STOCK SAN IGNACIO;2
144;STOCK SAN LORENZO;2
145;STOCK SAN LORENZO KM 14.5;2
146;STOCK SAN LORENZO CENTRO;2
147;STOCK SHOPPING MARIANO;2
148;STOCK TERMINAL;2
149;STOCK VILLA ELISA;2
150;STOCK VILLA HAYES;2
151;STOCK YPANE;2
300;ESPAÑA CAPIATA;3
301;ESPAÑA CENTRAL;3
400;GRAN VIA CHOFERES;4
401;GRAN VIA LUQUE;4
402;GRAN VIA MCAL. LOPEZ;4
403;GRAN VIA ÑEMBY;4
404;GRAN VIA FUJI KM4;4
405;GRAN VIA VIELA CENTRO;4
406;GRAN VIA VIELA COUNTRY;4
407;GRAN VIA VIELA HERNANDARIAS;4
408;GRAN VIA VIELA KM7;4
409;GRAN VIA VIELA REMANSITO;4
410;GRAN VIA VIELA SAN JOSE;4
500;REAL ACCESO SUR;5
501;REAL CAPIATA RI;5
502;REAL CAPIATA RII;5
503;REAL FDO DE LA MORA;5
504;REAL ÑEMBY;5
505;REAL SAN VICENTE;5
506;REAL VILLA MORRA;5
600;SALEMMA CARMELITAS;6
601;SALEMMA MULTIPLAZA;6
602;SALEMMA SAN LORENZO;6
603;SALEMMA SUPER CENTER;6
700;LUISITO 4 MOJONES;7
701;LUISITO EUSEBIO AYALA;7
702;LUISITO FELIX BOGADO;7
703;LUISITO LIMPIO;7
704;LUISITO LUQUE;7
705;LUISITO MARIANO;7
706;LUISITO ÑEMBY;7
800;PUEBLO FDO DE LA MORA;8
801;PUEBLO LAMBARE;8
802;PUEBLO MARIANO;8
803;PUEBLO SAN VICENTE;8
900;LA BOMBA ÑEMBY;9
901;LA BOMBA PROCERES DE MAYO;9
902;LA BOMBA SANTA TERESA;9
903;LA BOMBA TERMINAL;9
904;LA BOMBA VIA FERREA;9
1000;LA FAMILIA BARATO1 EXPRESS;10
1001;LA FAMILIA BARATO2 RI;10
1002;LA FAMILIA CAMBYRETA;10
1006;LA FAMILIA CENTRO;10
1003;LA FAMILIA IRRAZABAL;10
1004;LA FAMILIA SAN ISIDRO;10
1005;LA FAMILIA SAN PEDRO;10
1100;ARETE LAMBARE;11
1101;ARETE PINEDO;11
