CODIGO DE BARRA;SKU/DESCRIPCION;CATEGORIA;MARCA;CM TOTAL;ID;PROVEEDOR;MEDIR;QUE SE MIDE;NO DEFINIDO
7840058004055; GASEOSA COLA 3LT COCA COLA ENV NO RETORNABLE;BEBIDAS;NULL;NULL;1;NULL;MEDIR;Q;STK Britez Borges
7840028203983; GASEOSA DESC COLA 3LT PEPSI BOT;BEBIDAS;NULL;NULL;2;NULL;MEDIR;Q;STK Britez Borges
7840028203990; GASEOSA DESC GUARANA 3LT MIRINDA BOT;BEBIDAS;NULL;NULL;3;NULL;MEDIR;Q;STK Britez Borges
7840058000675; GASEOSA COCA COLA BOT DESC. 1.5 LT;BEBIDAS;NULL;NULL;4;NULL;MEDIR;Q;STK Britez Borges
7840058000026; GASEOSA COLA 2LT COCA COLA DESCARTABLE BOTELLA;BEBIDAS;NULL;NULL;5;NULL;MEDIR;Q;STK Britez Borges
7804300120467; VINO TINTO SANTA HELENA BOT 750 CC;BEBIDAS;NULL;NULL;6;NULL;MEDIR;Q;STK Britez Borges
248785; AGUA MINERAL SELTZ SIN SODIO 20LTS;BEBIDAS;NULL;NULL;7;NULL;MEDIR;Q;STK Britez Borges
3456916; CERVEZA 650 ML MILLER GENUINE DRAFT BOT;BEBIDAS;NULL;NULL;8;NULL;MEDIR;Q;STK Britez Borges
80660956411; CERVEZA 710 ML CORONA EXTRA BOT;BEBIDAS;NULL;NULL;9;NULL;MEDIR;Q;STK Britez Borges
7840779006703; GASEOSA NARANJA DESC 3LTS PULP BOT;BEBIDAS;NULL;NULL;10;NULL;MEDIR;Q;STK Britez Borges
7840058006714; JUGO LIQUIDO DURAZNO 1.5LTS FRUGOS DEL VALLE TETRA;BEBIDAS;NULL;NULL;11;NULL;MEDIR;Q;STK Britez Borges
7840028204010; GASEOSA DESC POMELO 3LT PASO DE LOS TOROS BOT;BEBIDAS;NULL;NULL;12;NULL;MEDIR;Q;STK Britez Borges
7896037913146; VINO QUINTA DO MORGADO 750 ML SUAVE;BEBIDAS;NULL;NULL;13;NULL;MEDIR;Q;STK Britez Borges
78400030; CERVEZA BRAHMA CHOPP RETORNABLE BOT 940ML;BEBIDAS;NULL;NULL;14;NULL;MEDIR;Q;STK Britez Borges
